plane_name,nation,rank,battle_rating,max_speed,turn_time,climb_rate,wing_rip_speed,combat_flap_rip_speed,image_url
A-10A,USA,VI,10.0,642,29.0,25.3,874,N/A,https://wiki.warthunder.com/images/thumb/0/08/GarageImage_A-10A.jpg/800px-GarageImage_A-10A.jpg
A-10A Late,USA,VII,10.3,642,29.0,25.3,874,N/A,https://wiki.warthunder.com/images/thumb/a/a6/GarageImage_A-10A_Late.jpg/800px-GarageImage_A-10A_Late.jpg
A-1H,USA,IV,6.3,587,23.0,15.5,797,364,https://wiki.warthunder.com/images/thumb/b/bf/GarageImage_A-1H.jpg/800px-GarageImage_A-1H.jpg
A-20G-25,USA,II,3.0,510,34.0,10.1,696,428,https://wiki.warthunder.com/images/thumb/d/d1/GarageImage_A-20G-25.jpg/800px-GarageImage_A-20G-25.jpg
A-26B-10,USA,IV,5.0,576,30.0,12.0,718,507,https://wiki.warthunder.com/images/thumb/0/09/GarageImage_A-26B-10.jpg/800px-GarageImage_A-26B-10.jpg
A-26B-50,USA,IV,5.3,569,28.0,11.4,718,507,https://wiki.warthunder.com/images/thumb/3/3c/GarageImage_A-26B-50.jpg/800px-GarageImage_A-26B-50.jpg
A-26C-45,USA,IV,5.3,569,28.0,11.4,718,507,https://wiki.warthunder.com/images/thumb/1/16/GarageImage_A-26C-45.jpg/800px-GarageImage_A-26C-45.jpg
A-26C-45DT,USA,IV,5.3,569,28.0,11.4,718,507,https://wiki.warthunder.com/images/thumb/f/fb/GarageImage_A-26C-45DT.jpg/800px-GarageImage_A-26C-45DT.jpg
A-36,USA,II,3.0,589,22.3,13.1,855,650,https://wiki.warthunder.com/images/thumb/6/6c/GarageImage_A-36.jpg/800px-GarageImage_A-36.jpg
A-4B,USA,VI,8.7,"1,065",37.0,42.0,1167,592,https://wiki.warthunder.com/images/thumb/c/c5/GarageImage_A-4B.jpg/800px-GarageImage_A-4B.jpg
A-4E Early,USA,VI,8.7,"1,081",37.0,40.0,1167,592,https://wiki.warthunder.com/images/thumb/d/d8/GarageImage_A-4E_Early.jpg/800px-GarageImage_A-4E_Early.jpg
A-6E TRAM,USA,VII,10.3,___,__._,__._,"1,322",N/A,https://wiki.warthunder.com/images/thumb/c/c7/GarageImage_A-6E_TRAM.jpg/800px-GarageImage_A-6E_TRAM.jpg
A-7D,USA,VII,10.3,"1,123",35.0,55.0,1254,484,https://wiki.warthunder.com/images/thumb/1/10/GarageImage_A-7D.jpg/800px-GarageImage_A-7D.jpg
A-7E,USA,VII,10.7,"1,123",35.0,55.0,"1,254",484,https://wiki.warthunder.com/images/thumb/6/67/GarageImage_A-7E.jpg/800px-GarageImage_A-7E.jpg
A-7K,USA,VII,11.0,___,__._,__._,"1,254",484,https://wiki.warthunder.com/images/thumb/0/05/GarageImage_A-7K.jpg/800px-GarageImage_A-7K.jpg
A2D-1,USA,V,7.0,796,25.0,34.4,875,428,https://wiki.warthunder.com/images/thumb/7/74/GarageImage_A2D-1.jpg/800px-GarageImage_A2D-1.jpg
▃A6M2,USA,III,3.7,510,17.0,13.3,660,484,https://wiki.warthunder.com/images/thumb/4/47/GarageImage_A6M2_%28USA%29.jpg/800px-GarageImage_A6M2_%28USA%29.jpg
AD-2,USA,IV,5.7,593,21.0,17.0,797,N/A,https://wiki.warthunder.com/images/thumb/c/cc/GarageImage_AD-2.jpg/800px-GarageImage_AD-2.jpg
AD-4,USA,IV,6.0,587,23.0,15.5,797,365,https://wiki.warthunder.com/images/thumb/f/f2/GarageImage_AD-4.jpg/800px-GarageImage_AD-4.jpg
AM-1,USA,IV,5.7,589,22.0,14.2,805,420,https://wiki.warthunder.com/images/thumb/e/e7/GarageImage_AM-1.jpg/800px-GarageImage_AM-1.jpg
AU-1,USA,IV,5.7,638,22.0,19.0,885,388,https://wiki.warthunder.com/images/thumb/1/18/GarageImage_AU-1.jpg/800px-GarageImage_AU-1.jpg
AV-8A,USA,VI,9.7,"1,156",32.0,87.0,1191,N/A,https://wiki.warthunder.com/images/thumb/d/d7/GarageImage_AV-8A.jpg/800px-GarageImage_AV-8A.jpg
AV-8C,USA,VI,9.7,"1,152",32.0,87.0,1191,N/A,https://wiki.warthunder.com/images/thumb/2/28/GarageImage_AV-8C.jpg/800px-GarageImage_AV-8C.jpg
B-10B,USA,I,1.3,343,21.0,7.7,564,328,https://wiki.warthunder.com/images/thumb/a/ae/GarageImage_B-10B.jpg/800px-GarageImage_B-10B.jpg
B-17E,USA,III,4.7,510,36.0,7.2,516,383,https://wiki.warthunder.com/images/thumb/a/ac/GarageImage_B-17E.jpg/800px-GarageImage_B-17E.jpg
B-17E/L,USA,III,5.0,510,36.0,7.2,516,383,https://wiki.warthunder.com/images/thumb/b/b3/GarageImage_B-17EL.jpg/800px-GarageImage_B-17EL.jpg
B-17G-60-VE,USA,IV,5.3,510,36.0,4.6,516,383,https://wiki.warthunder.com/images/thumb/7/7f/GarageImage_B-17G-60-VE.jpg/800px-GarageImage_B-17G-60-VE.jpg
B-18A,USA,I,1.3,375,21.0,7.7,580,333,https://wiki.warthunder.com/images/thumb/2/26/GarageImage_B-18A.jpg/800px-GarageImage_B-18A.jpg
B-24D-25-CO,USA,IV,5.7,494,38.0,4.6,600,N/A,https://wiki.warthunder.com/images/thumb/d/d6/GarageImage_B-24D-25-CO.jpg/800px-GarageImage_B-24D-25-CO.jpg
B-25J-1,USA,II,4.0,444,31.0,7.7,591,382,https://wiki.warthunder.com/images/thumb/c/c2/GarageImage_B-25J-1.jpg/800px-GarageImage_B-25J-1.jpg
B-25J-20,USA,II,4.0,444,31.0,7.7,591,382,https://wiki.warthunder.com/images/thumb/a/ae/GarageImage_B-25J-20.jpg/800px-GarageImage_B-25J-20.jpg
B-26B,USA,III,4.7,491,34.0,5.6,568,382,https://wiki.warthunder.com/images/thumb/0/0c/GarageImage_B-26B.jpg/800px-GarageImage_B-26B.jpg
B-29A-BN,USA,IV,7.3,641,32.0,6.5,609,332,https://wiki.warthunder.com/images/thumb/a/a5/GarageImage_B-29A-BN.jpg/800px-GarageImage_B-29A-BN.jpg
B-34,USA,II,3.3,539,27.0,12.0,633,328,https://wiki.warthunder.com/images/thumb/3/3d/GarageImage_B-34.jpg/800px-GarageImage_B-34.jpg
